Test Result UID,Sample Name,Sample Type,Test Time,Receival Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
tvNPMACXk8gyLPLHm,Cherry Berry Pie - LR,Concentrate,2016-11-02,2016-11-01,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.11,0.03,0.08,0.6,0.0,0.29,0.69,0.28,0.0,0.55,0.0,0.0,NaN,67.9,NaN,NaN,0.42,0.44,NaN,0.47,NaN,NaN,NaN,6.17,0.86,NaN
tyqRwSgn9MFyn9gLQ,Lemon Skunk (A.S),Concentrate,2017-05-03,2017-05-02,12,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.15,0.0,0.0,0.08,0.31,0.06,0.0,0.63,0.09,0.0,0.05,0.22,0.0,0.0,75.0,3.1,NaN,NaN,0.0,0.0,0.39,0.1,NaN,NaN,1.65,0.78,0.39,NaN
tz9vZ5qwuNuEPaGEb,Extrema - CO2,Concentrate,2016-10-06,2016-10-05,12,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.03,0.17,0.5,0.03,0.0,1.14,0.03,0.0,0.0,0.09,0.0,0.0,NaN,59.2,NaN,NaN,1.06,1.07,NaN,3.74,NaN,NaN,NaN,4.36,2.09,NaN
tzFLoRvLMTvGHpSMX,ASO223Wax,Concentrate,2017-02-28,2017-02-24,12,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.11,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,NaN,75.5,NaN,NaN,0.55,0.61,NaN,1.78,NaN,NaN,NaN,3.09,1.28,NaN
u2LsLQYmgKYmxBtQw,Tangie Ghost Train Haze HTFSE,Concentrate,2017-08-10,2017-08-10,2,0.0,0.0,NaN,NaN,NaN,0.0,0.2,0.0,0.0,0.0,0.43,0.0,0.79,0.0,0.6,0.23,0.0,0.41,0.04,1.49,5.55,0.0,0.56,3.99,0.0,0.0,NaN,7.25,0.01,31.18,0.01,0.28,1.26,0.01,NaN,NaN,4.03,0.01,0.08,NaN
u2iQokyCygdfNJy8J,Northern Lights Live Resin,Concentrate,2018-01-31,2018-01-31,2,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.12,0.0,0.18,0.0,0.1,0.0,0.15,0.23,0.0,0.12,1.62,0.13,0.1,0.41,0.05,0.0,NaN,2.58,0.0,85.25,0.0,0.0,0.0,0.0,NaN,NaN,1.02,0.54,0.0,NaN
u2rvQx8t3TyDQEJ33,Fire Cookies,Concentrate,2017-04-06,2017-04-04,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.0,0.07,0.08,0.0,0.47,0.32,0.0,0.04,0.77,0.0,0.0,NaN,53.7,NaN,NaN,0.26,0.25,NaN,0.39,NaN,NaN,NaN,2.49,0.38,NaN
u3YsuRLtAj6sD5eYg,MAMBA-041718,Concentrate,2018-04-25,2018-04-25,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.47,0.0,0.09,0.2,0.55,0.22,0.0,1.2,0.7,0.1,0.0,1.5,0.04,0.0,NaN,48.66,0.01,21.78,0.3,0.18,0.01,3.33,NaN,NaN,0.01,5.36,2.02,NaN
u5jrn4rHDSx86G4df,Con 5/08,Concentrate,2017-05-10,2017-05-08,37,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.8,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN
uBWkF3FHokDJKcBEt,Sunset Sherbert Rosin,Concentrate,2017-01-28,2017-01-27,7,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.1,0.26,0.09,0.0,0.53,1.29,0.0,0.04,0.61,0.0,0.0,NaN,65.5,NaN,NaN,0.47,0.5,NaN,0.57,NaN,NaN,NaN,2.31,0.93,NaN
uCsDsc8qAw3HTAr4N,Sample 18,Concentrate,NaN,NaN,19,NaN,NaN,0.0,0.0,NaN,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.62,0.0,0.04,0.08,0.34,0.23,0.0,0.79,0.99,0.0,0.14,2.06,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
uFDM8QrNpcHyju7Ji,Sample 1,Concentrate,NaN,NaN,19,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.02,0.03,0.34,0.15,0.0,0.61,0.22,0.01,0.11,0.61,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
uGweGvxQtckT2Hiip,Pineapple Chunk Craft Cart,Concentrate,2018-03-05,2018-03-05,2,0.0,0.0,NaN,NaN,NaN,0.11,0.06,0.0,0.04,0.0,0.11,0.0,0.31,0.0,2.42,0.06,0.18,0.26,0.17,0.3,0.53,0.0,0.17,0.47,0.12,0.04,NaN,60.48,0.01,8.97,0.54,0.19,1.81,1.33,NaN,NaN,5.22,2.08,1.88,NaN
uJeufx6kQ3yHP7eN3,Gorilla Glue - LR,Concentrate,2015-12-10,2015-12-08,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.06,0.01,0.18,0.14,0.01,0.5,0.93,0.03,0.06,1.35,0.01,0.0,NaN,67.4,NaN,NaN,0.19,0.07,NaN,0.03,NaN,NaN,NaN,1.67,0.47,NaN
uQ635eWuaJq3ToZmR,Berry White x Flo Cured Cart,Concentrate,2017-09-21,2017-09-21,2,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.07,0.0,0.18,0.0,0.44,0.09,0.16,0.12,0.03,0.6,0.14,0.05,0.12,0.68,0.0,0.0,NaN,3.24,0.01,53.52,0.01,0.01,0.01,0.01,NaN,NaN,1.79,0.32,0.01,NaN
uQA8HTRRc96kxBoBZ,Gorilla Grape Gush - LR,Concentrate,2017-06-19,2017-06-19,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.06,0.46,0.0,0.29,0.95,0.19,0.04,0.85,0.0,0.0,NaN,1.66,0.01,76.6,0.01,0.01,0.49,0.01,NaN,NaN,3.45,0.8,0.01,NaN
uQWFrgcjP7EGWJdfH,Jack Herer -LRB,Concentrate,2017-08-04,2017-08-04,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.76,0.04,0.28,0.14,0.1,0.76,0.27,0.28,0.1,0.37,0.06,0.0,NaN,3.52,0.01,80.46,0.01,0.51,0.01,0.01,NaN,NaN,6.44,0.01,0.01,NaN
uRXHcdPYHZA9FvoC4,Platinum Garlic-LR,Concentrate,2017-08-03,2017-08-03,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.21,0.09,0.0,0.1,0.02,1.44,0.48,0.0,0.06,0.96,0.0,0.0,NaN,3.04,0.01,84.69,0.01,0.01,0.95,0.01,NaN,NaN,2.6,0.01,0.21,NaN
uTY3urCXv3qt6dBhB,Lemon Cookies - LRB,Concentrate,2017-07-13,2017-07-13,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.15,0.0,1.64,0.05,0.0,0.4,0.13,0.2,0.27,0.0,0.04,0.49,0.07,0.0,NaN,2.07,0.01,74.01,0.01,0.43,0.01,0.01,NaN,NaN,7.38,0.2,0.01,NaN
uXQAPvuTSH33tkzFf,Alpine OG -LR,Concentrate,2017-06-02,2017-06-02,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.57,0.04,0.3,0.13,0.0,0.73,0.31,0.15,0.0,0.96,0.0,0.0,NaN,2.18,0.01,81.1,0.01,0.01,0.01,0.01,NaN,NaN,0.75,0.01,3.02,NaN
uYwfK3e9WE5XF73id,Mixed Shatter,Concentrate,2017-04-11,2017-04-07,12,NaN,NaN,0.0,0.0,NaN,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.04,0.07,0.21,0.0,0.24,0.38,0.0,0.0,0.43,0.0,0.0,NaN,62.4,NaN,NaN,0.36,0.52,NaN,2.21,NaN,NaN,NaN,3.48,0.6,NaN
uatMqtZsjJQiEcsLg,Cookies n' Cream,Concentrate,2017-02-16,2017-02-14,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.03,0.25,0.07,0.0,0.57,0.16,0.0,0.0,0.87,0.0,0.0,NaN,50.7,NaN,NaN,0.18,0.26,NaN,0.39,NaN,NaN,NaN,3.02,0.66,NaN
ucMP6ASMySJBSpwkd,I-95 Butter,Concentrate,2017-01-18,2017-01-16,35,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.04,0.07,0.04,0.0,0.25,0.07,0.0,0.0,0.21,0.0,0.0,NaN,68.1,NaN,NaN,0.42,0.46,NaN,0.43,NaN,NaN,NaN,2.24,0.61,NaN
uchuihqDErD8RZYNW,Space Cake 10 - LR,Concentrate,2017-06-19,2017-06-19,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.04,0.13,0.18,0.0,0.49,0.26,0.04,0.05,1.03,0.0,0.0,NaN,1.21,0.01,76.5,0.01,0.01,0.01,0.01,NaN,NaN,5.71,0.58,0.13,NaN
udbeB6knJx7qJoEZE,Sunset Sherbet,Concentrate,2018-03-13,2018-03-13,23,0.0,0.0,NaN,NaN,NaN,0.0,0.08,0.0,0.0,0.0,0.14,0.0,0.18,0.0,0.07,0.09,0.29,0.16,0.05,0.48,0.99,0.07,0.13,0.83,0.04,0.0,NaN,1.13,0.01,84.46,0.01,0.01,0.01,0.01,NaN,NaN,1.72,0.01,0.01,NaN
ugGPKFATtWD5aQkds,Strawberry Lemonade - LR,Concentrate,2016-12-01,2016-11-29,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.03,0.18,0.09,0.02,0.47,0.95,0.23,0.05,0.73,0.0,0.0,NaN,63.8,NaN,NaN,0.73,0.2,NaN,0.43,NaN,NaN,NaN,6.03,0.74,NaN
ugQHehucXGXmKowFP,Grease Monkey -LR,Concentrate,2017-12-21,2017-12-21,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.09,0.1,0.41,0.23,0.0,0.95,1.25,0.09,0.12,1.11,0.05,0.0,NaN,1.34,0.01,82.65,0.01,0.01,1.49,0.01,NaN,NaN,2.38,0.36,0.1,NaN
uiQLDSJxrBZfhrfES,Tahoe OG x Goji- LR,Concentrate,2017-09-09,2017-09-09,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.04,0.07,0.25,0.1,0.0,0.71,0.65,0.02,0.0,0.51,0.0,0.0,NaN,1.07,0.01,83.57,0.01,0.01,1.0,0.01,NaN,NaN,1.93,0.35,0.01,NaN
umwCR5YHAvoGuv2A8,Grape Ape,Concentrate,NaN,NaN,11,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,15.88,0.0,0.0,5.14,14.41,0.0,13.0,42.72,0.0,4.63,4.35,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
umy55J7LNZWyiwvmo,Zkittles,Concentrate,2018-04-12,2018-04-12,56,0.0,0.12,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.59,0.05,0.0,1.13,0.05,0.0,0.05,0.13,0.0,0.0,NaN,72.2,0.01,0.01,1.39,1.95,0.01,10.6,NaN,NaN,0.01,2.94,1.78,NaN
umy55J7LNZWyiwvmo,Zkittles,Concentrate,2018-04-12,2018-04-12,56,0.0,0.12,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.59,0.05,0.0,1.13,0.05,0.0,0.05,0.13,0.0,0.0,NaN,72.2,0.01,0.01,1.39,1.95,0.01,10.6,NaN,NaN,0.01,2.94,1.78,NaN
upcmYYHffbcmegnbM,Orange Cream,Concentrate,2016-11-18,2016-11-15,5,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.33,0.07,0.0,0.96,1.34,0.0,0.05,0.44,0.0,0.0,NaN,63.1,NaN,NaN,0.48,0.65,NaN,0.61,NaN,NaN,NaN,6.41,0.57,NaN
upqsrcHGnJmhhWYKQ,Blueberry Cannatonic-LR,Concentrate,2017-12-21,2017-12-21,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.1,0.0,0.0,0.0,0.16,0.0,0.29,0.0,0.09,0.12,0.28,0.51,0.0,0.57,2.3,0.11,0.24,0.78,0.06,0.06,NaN,1.64,0.01,53.79,0.01,0.01,31.44,1.41,NaN,NaN,3.24,0.52,0.01,NaN
uqAfAo3FSxPpokzre,Alex Mix,Concentrate,2016-02-01,2016-01-28,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.06,0.0,0.01,0.0,0.02,0.0,0.22,0.0,0.17,0.02,0.13,0.42,0.02,0.22,1.1,0.08,0.0,0.99,0.01,0.0,NaN,56.7,NaN,NaN,0.24,0.09,NaN,0.02,NaN,NaN,NaN,1.92,0.03,NaN
uqLAhAnhs6nkDBQiK,Super Lemon Skunk,Concentrate,2017-12-18,2017-12-18,NaN,0.0,0.0,NaN,NaN,NaN,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.89,0.0,0.2,0.19,0.1,0.43,1.08,0.56,0.16,1.04,0.07,0.03,NaN,1.44,0.01,80.75,0.01,0.01,0.81,0.01,NaN,NaN,4.18,0.57,0.01,NaN
uqMYTiYMKomRBsPJD,Tangie Ghost Train Live Resin,Concentrate,2016-09-29,2016-09-29,2,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.08,0.0,0.04,0.0,1.66,0.04,0.05,0.27,0.13,0.12,1.22,0.5,0.1,0.43,0.08,0.02,NaN,62.7,NaN,NaN,0.43,0.35,NaN,0.41,NaN,NaN,NaN,4.97,0.57,NaN
uqRmcyZbYvLc2AHRu,050718-01 Viper Cookies,Concentrate,2018-05-15,2018-05-15,NaN,0.0,0.0,NaN,NaN,NaN,0.04,0.05,0.0,0.0,0.18,0.0,0.0,0.44,0.0,0.2,0.09,0.23,0.08,0.05,0.39,0.21,0.0,0.05,0.38,0.04,0.0,NaN,1.49,0.01,83.34,0.01,0.01,0.01,0.01,NaN,NaN,3.7,0.01,0.01,NaN
ut495CebEXcq8ctRw,Peaches & Creme,Concentrate,2017-05-03,2017-05-02,29,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.05,0.0,0.75,0.0,0.08,0.08,0.0,0.16,0.15,0.0,0.0,80.8,2.8,NaN,NaN,0.0,0.0,0.11,0.1,NaN,NaN,3.77,0.53,0.0,NaN
utpmSdFYRj3yE6EjL,Fruit Punch - LRB,Concentrate,2017-06-19,2017-06-19,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.13,0.03,0.09,0.05,0.0,0.29,0.15,0.02,0.0,0.48,0.0,0.0,NaN,1.43,0.01,85.2,0.01,0.01,0.51,0.01,NaN,NaN,4.42,0.72,0.01,NaN
utyeoPHYNxxWzynYv,Startonic,Concentrate,2016-04-07,2016-04-01,84,NaN,NaN,0.0,0.01,NaN,0.0,0.02,0.0,0.0,0.0,0.29,0.0,0.33,0.0,0.0,0.18,0.31,0.25,0.0,0.85,1.0,0.0,0.08,0.2,0.0,0.08,NaN,31.7,NaN,NaN,0.31,0.79,NaN,3.51,NaN,NaN,NaN,2.16,4.01,NaN
uvwHyYLBCKWdKbtZY,True CO2 - Granddaddy Purple Hybrid CO2 Oil,Concentrate,2016-10-04,2016-10-03,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.17,0.39,0.01,0.0,0.9,0.03,0.0,0.01,0.05,0.0,0.0,NaN,76.8,NaN,NaN,0.57,1.56,NaN,0.7,NaN,NaN,NaN,2.26,1.41,NaN
uvxmKTvqkCY5f5x5E,Super Lemon Haze - LRB,Concentrate,2017-06-19,2017-06-19,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.54,0.03,0.12,0.03,0.03,0.3,0.15,0.1,0.0,0.35,0.01,0.0,NaN,2.12,0.01,75.12,0.01,0.01,0.51,0.01,NaN,NaN,11.92,0.8,0.01,NaN
uzaPqZfgJcyprk2er,Garlic Cookies- LRB,Concentrate,2017-08-09,2017-08-09,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.14,0.06,0.0,0.08,0.02,0.98,0.27,0.0,0.03,0.64,0.0,0.0,NaN,1.61,0.01,79.74,0.01,0.01,0.01,0.01,NaN,NaN,1.31,0.01,0.01,NaN
v35bP2DaWJwRGXQbP,Goji - LRB,Concentrate,2017-08-02,2017-08-02,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.1,0.0,0.53,0.0,0.05,0.07,0.15,0.13,0.01,0.41,0.12,0.05,0.07,0.71,0.0,0.0,NaN,1.6,0.01,86.85,0.01,0.01,1.09,0.01,NaN,NaN,3.97,0.01,0.01,NaN
v5J9b6ud9qDH4KK5z,Jedi - LR,Concentrate,2016-09-29,2016-09-28,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.28,0.0,0.03,0.08,0.25,0.16,0.0,0.61,0.2,0.01,0.09,1.27,0.0,0.0,NaN,65.8,NaN,NaN,0.34,0.39,NaN,0.43,NaN,NaN,NaN,3.16,0.65,NaN
v5jDgpdMMtMX2sw5A,72 Cabernet Cured Resin,Concentrate,2017-11-09,2017-11-09,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.05,0.05,0.0,0.5,0.0,0.15,0.39,0.02,0.1,0.3,0.0,0.0,NaN,6.52,0.01,77.65,0.01,0.01,0.59,0.01,NaN,NaN,1.09,0.38,0.16,NaN
v68XiRybhfovQMpx7,SFV O.G. - LR,Concentrate,2016-10-13,2016-10-11,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.05,0.05,0.45,0.12,0.0,0.89,1.21,0.03,0.07,1.13,0.0,0.0,NaN,64.6,NaN,NaN,0.39,0.0,NaN,0.67,NaN,NaN,NaN,3.24,0.54,NaN
v9f62Yptvt6ww8Myg,Sour Banana Sherbert-LR,Concentrate,2018-01-04,2018-01-04,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.06,0.0,0.12,0.39,0.0,0.24,1.06,0.14,0.06,0.26,0.0,0.0,NaN,1.41,0.0,87.16,0.0,0.0,0.94,0.0,NaN,NaN,1.81,0.41,0.0,NaN
vANyJaP6Cdy9XvqCA,Blaze-B-Vac/unfrozen,Concentrate,2018-03-02,2018-03-02,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.04,0.0,0.1,0.0,0.22,0.0,0.06,0.06,0.16,0.18,0.05,0.18,0.47,0.0,0.0,0.25,0.04,0.0,NaN,2.86,0.01,83.82,0.01,0.01,0.9,0.01,NaN,NaN,3.81,1.18,0.01,NaN
vAXkeGpCMsCFPbf3A,4,Concentrate,2017-10-26,2017-10-26,27,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.03,0.05,0.19,0.05,0.0,0.54,1.34,0.02,0.0,0.18,0.0,0.0,NaN,1.55,0.01,77.37,0.01,0.01,0.01,0.01,NaN,NaN,0.12,0.55,0.01,NaN
vDLACQCK9pcADJhsG,Hammer Head,Concentrate,2018-01-19,2018-01-19,2,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.06,0.05,0.09,0.05,0.0,0.14,0.09,0.04,0.04,0.13,0.0,0.0,NaN,0.81,0.0,94.36,0.0,0.0,0.0,0.0,NaN,NaN,0.21,0.0,0.0,NaN
vDYN7Pkte7CtvHNH3,Acapulco Big Bud,Concentrate,2016-02-01,2016-01-28,NaN,NaN,NaN,0.09,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.03,0.22,0.09,0.01,0.37,0.89,0.12,0.0,0.52,0.01,0.0,NaN,55.3,NaN,NaN,0.13,0.07,NaN,0.02,NaN,NaN,NaN,2.19,0.02,NaN
vDgy3xaK9tYpFX9SM,0105 Wax,Concentrate,2018-01-11,2018-01-11,12,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.85,0.0,0.0,0.0,0.99,0.0,0.0,14.05,0.04,0.0,0.03,0.09,0.0,0.0,NaN,44.25,0.0,1.09,0.25,3.99,0.0,0.0,NaN,NaN,0.0,0.31,0.27,NaN
vEQfS69puDiZPS6L3,Josh D OG #9 LR,Concentrate,2018-05-01,2018-05-01,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.53,0.07,0.32,0.35,0.08,0.62,1.55,0.19,0.1,2.57,0.06,0.0,NaN,1.34,0.01,81.39,0.01,0.01,0.01,0.01,NaN,NaN,3.75,0.01,0.01,NaN
vH34NQXRvnP9CsLj9,Gorilla Glue #4 - LR,Concentrate,2016-11-02,2016-11-01,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.02,0.07,0.44,0.11,0.0,0.99,0.21,0.0,0.0,1.03,0.0,0.0,NaN,66.1,NaN,NaN,0.27,0.22,NaN,0.41,NaN,NaN,NaN,2.49,0.6,NaN
vHfFiokGijerspXtb,Tropic Thunder  / Loyalty Extracts,Concentrate,2017-02-21,2017-02-17,31,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.05,0.22,0.05,0.0,0.61,0.26,0.01,0.01,0.3,0.0,0.0,NaN,57.4,NaN,NaN,0.36,1.08,NaN,0.81,NaN,NaN,NaN,2.62,0.56,NaN
vJWqGBovBGbQhiuRQ,Jupiter OG x Cannatonic - LR,Concentrate,2016-03-02,2016-03-01,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.16,0.0,0.02,0.07,0.33,0.08,0.0,0.8,1.0,0.01,0.0,0.61,0.0,0.05,NaN,34.4,NaN,NaN,0.13,0.09,NaN,10.7,NaN,NaN,NaN,1.75,0.73,NaN
vKt4LBL77Lx8gZpvA,Banana OG HTFSE,Concentrate,2017-05-12,2017-05-10,15,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.57,0.0,0.0,0.26,0.86,0.13,0.0,1.91,0.29,0.0,0.13,1.28,0.0,0.0,49.5,15.9,NaN,NaN,0.17,0.0,0.46,0.0,NaN,NaN,1.93,0.42,0.01,NaN
vLQSC6kpsy8yYQnau,Blueberry,Concentrate,2017-07-27,2017-07-27,109,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.03,0.0,0.13,0.0,0.13,0.0,0.85,0.09,0.2,0.18,0.08,0.67,0.09,0.11,0.17,0.16,0.07,0.0,NaN,4.57,0.01,84.17,0.01,0.21,0.98,0.01,NaN,NaN,6.39,0.01,0.01,NaN
vNoENzzeY7378yibE,Blackberry Kush,Concentrate,2017-12-02,2017-12-02,124,0.0,0.0,NaN,NaN,NaN,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.11,0.0,0.0,0.05,0.0,0.18,0.0,0.16,0.36,0.0,0.07,0.05,0.0,0.0,NaN,82.24,0.0,0.0,0.47,1.94,0.0,0.32,NaN,NaN,0.0,2.83,1.09,NaN
vP6xSzNwgiJELgzKq,Clear - Strawberry,Concentrate,2016-10-18,2016-10-15,125,NaN,NaN,0.0,0.0,NaN,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,3.49,0.0,0.18,0.17,0.0,0.41,0.01,0.0,0.0,NaN,63.9,NaN,NaN,2.21,0.82,NaN,0.52,NaN,NaN,NaN,1.25,0.35,NaN
vPEWapQkJYW7zKKMb,HBC-D,Concentrate,2017-03-23,2017-03-21,46,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.13,0.05,0.54,0.04,0.0,0.96,0.24,0.02,0.0,0.34,0.0,0.0,NaN,52.0,NaN,NaN,0.26,0.49,NaN,0.49,NaN,NaN,NaN,4.22,0.42,NaN
vPvanwPfQRzdQmxWf,Tahoe OG -LR,Concentrate,2017-09-09,2017-09-09,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.21,0.0,0.05,0.07,0.36,0.12,0.01,0.95,0.83,0.03,0.0,0.71,0.0,0.0,NaN,0.94,0.01,84.11,0.01,0.01,0.01,0.01,NaN,NaN,2.0,0.39,0.01,NaN
vQKAsqh3FxbucJSwP,Sample 8,Concentrate,NaN,NaN,19,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.06,0.04,0.25,0.16,0.0,0.59,0.38,0.02,0.07,0.86,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
